Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),ECOPETROL S.A.,CUPIAGUA,ECOP-SDLA-OP-DIRECTA,306.9654,300.9325,294.2063,291.153,292.2429,274.6734,268.258,238.4295,,,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),ECOPETROL S.A.,CUPIAGUA LIRIA,RECETOR,86.5493,87.1805,87.3896,84.8718,80.8077,75.506,92.4823,61.2712,,,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),ECOPETROL S.A.,CUPIAGUA SUR,ECOP-SDLA-OP-DIRECTA,178.0606,187.7782,179.6531,174.4374,146.3517,174.2886,191.8668,201.352,,,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),ECOPETROL S.A.,CUSIANA NORTE,CUSIANA NORTE,72.6145,72.6674,69.3701,68.1609,70.9361,69.1762,72.4816,68.4077,,,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),PERENCO COLOMBIA LIMITED,LA GLORIA,CASANARE,0.2348,0.2413,0.2367,0.2452,0.1341,0.1261,0.1707,0.1925,,,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),CEPSA COLOMBIA S.A.,RAMIRIQUI,LLA 22,1.6092,1.5716,1.5492,1.5306,1.4001,0.691,0.1732,1.1476,,,,
CASANARE,AGUAZUL,5.126121886,-72.54821017,POINT (-72.54821017 5.126121886),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,RUMBA,LLA 26,0.3342,0.3024,0.2571,0.2698,0.263,0.3312,0.3162,0.3249,,,,
CASANARE,HATO COROZAL,6.03948032,-71.52445752,POINT (-71.52445752 6.03948032),GREEN POWER SUCURSAL COLOMBIA,OJO DE TIGRE,JOROPO,0,0,0,0,0,0.0097,0,0,,,,
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),EMERALD ENERGY PLC SUCURSAL COLOMBIA,CAMPO RICO,CAMPO RICO,0.0047,0.0047,0.0047,0.0046,0.0046,0.0046,0.0049,0.0049,,,,
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),EMERALD ENERGY PLC SUCURSAL COLOMBIA,CENTAURO SUR,CAMPO RICO,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0008,0.0012,,,,
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),PERENCO COLOMBIA LIMITED,LA GLORIA,CASANARE,0.2777,0.2795,0.2682,0.2786,0.0858,0.0694,0.0221,0,,,,
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),HOCOL S.A.,LA PUNTA,LA PUNTA,0.0018,0.0018,0.0038,0.0036,0.004,0.004,0.0039,0.0038,,,,
CASANARE,MANI,4.675769488,-72.21280273,POINT (-72.21280273 4.675769488),EMERALD ENERGY PLC SUCURSAL COLOMBIA,VIGIA SUR,CAMPO RICO,0,0.0009,0.0008,0.0008,0.0011,0.0011,0.0011,0.0008,,,,
CASANARE,MONTERREY,4.841308642,-72.8473434,POINT (-72.8473434 4.841308642),Frontera Energy Colombia Corp Sucursal Colombia,Canaguay,CANAGUARO,0.1931,0.2117,0.1899,0.2655,0.282,0.209,0.2192,0.1484,,,,
CASANARE,NUNCHIA,5.529181235,-72.09251937,POINT (-72.09251937 5.529181235),PERENCO COLOMBIA LIMITED,TIERRA BLANCA,CASANARE,0.0351,0.0124,0.0368,0.0091,0.0027,0.009,0.0056,0.015,,,,
CASANARE,NUNCHIA,5.529181235,-72.09251937,POINT (-72.09251937 5.529181235),PERENCO COLOMBIA LIMITED,TOCARIA,CASANARE,0,0,0,0,0,0,0,0.2471,,,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),COLOMBIA ENERGY DEVELOPMENT CO,CANACABARE,ALCARAVÁN,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,,,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),INVEPETROL LIMITED COLOMBIA,CURITO,CASANARE ESTE,0.0023,0.0024,0.0023,0.002,0.0038,0.0021,0.0019,0.0021,,,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),COLOMBIA ENERGY DEVELOPMENT CO,DANES,LLA 23,0,0,0,0.003,0.0035,0.003,0.003,0.0004,,,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),COLOMBIA ENERGY DEVELOPMENT CO,LABRADOR,LLA 23,0,0.0009,0.072,0.2122,0.1189,0.1407,0.1406,0.2766,,,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),CANACOL ENERGY COLOMBIA SAS,RANCHO HERMOSO,RANCHO HERMOSO,0.0595,0.0653,0.0593,0.0592,0.0571,0.0621,0.0554,0.0488,,,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),HOCOL S.A.,SANTO DOMINGO,LA PUNTA,0.0436,0.0396,0.0436,0.0376,0.0317,0.0293,0.0293,0.0284,,,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),HOCOL S.A.,SANTO DOMINGO NORTE,LA PUNTA,0.1139,0.1062,0.1208,0.1139,0.1062,0.0974,0.0979,0.0983,,,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),EMERALD ENERGY PLC SUCURSAL COLOMBIA,VIGIA SUR,CAMPO RICO,0.0131,0.0116,0.0115,0.0123,0.0141,0.0151,0.0155,0.0156,,,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),PERENCO COLOMBIA LIMITED,VIREO,OROPENDOLA,0.0308,0.0321,0.0303,0.0286,0.0353,0.036,0.0359,0.0354,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),Frontera Energy Colombia Corp Sucursal Colombia,AZOR,ARRENDAJO,0.0083,0.0081,0.0079,0.0078,0.0077,0.0078,0.0091,0.0094,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,BEGONIA,LLA 40,0.0343,0.0346,0.0333,0.03,0.0211,0.0259,0.0253,0.0247,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),PERENCO OIL AND GAS COLOMBIA LIMITED.,CUERVA OESTE,LA CUERVA,0.0287,0.0285,0.0282,0.0235,0.0184,0.0157,0.0171,0.0178,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),PERENCO OIL AND GAS COLOMBIA LIMITED.,CUERVA SUR,LA CUERVA,0.0044,0.0036,0.0034,0.0033,0.0034,0.0031,0.0031,0.003,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,DOROTEA B,DOROTEA,0.1732,0.1812,0.1974,0.1789,0.1648,0.1606,0.1724,0.1684,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA B,LEONA,0.0153,0.0152,0.0154,0.015,0.014,0.0147,0.0127,0.0123,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA B SUR,LEONA,0.004,0.0041,0.001,0.001,0.001,0,0.0015,0.006,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA C,LEONA,0.0085,0.0083,0.0081,0.008,0.0082,0.0083,0.0085,0.0081,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),Frontera Energy Colombia Corp Sucursal Colombia,YAGUAZO,ARRENDAJO,0.0284,0.0281,0.0286,0.0285,0.025,0.0235,0.0256,0.024,,,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),PERENCO OIL AND GAS COLOMBIA LIMITED.,YAMÚ,YAMU,0.0018,0.0019,0.0019,0.002,0.002,0.002,0.002,0.002,,,,
CASANARE,PORE,5.663194953,-71.92580806,POINT (-71.92580806 5.663194953),PERENCO OIL AND GAS COLOMBIA LIMITED.,CARUPANA,YAMU,0.0087,0.0065,0.0084,0.0105,0.0114,0.0116,0.0119,0.0116,,,,
CASANARE,PORE,5.663194953,-71.92580806,POINT (-71.92580806 5.663194953),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,KONA,LLA 16,0,0,0.022,0.0744,0.0128,0,0,0,,,,
CASANARE,PORE,5.663194953,-71.92580806,POINT (-71.92580806 5.663194953),PERENCO OIL AND GAS COLOMBIA LIMITED.,POTRILLO,YAMU,0.0029,0.0028,0.0031,0.0035,0.0039,0.0039,0.0033,0.0039,,,,
CASANARE,SAN LUIS DE PALENQUE,5.274955665,-71.81749276,POINT (-71.81749276 5.274955665),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,ADALIA,LLA 30,0.0134,0.0134,0.0135,0.0128,0.0109,0.0143,0.0138,0.0126,,,,
